ID,成品面料内部编号,基础面料编号,颜色内部编号,修图参考图链接地址,html????
5534,40DWS_BGN,40DWS,BGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240829180355.jpg,#234B5F
5159,40DWS_BK,40DWS,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20231208115139.jpg,#2D2323
8432,40DWS_BLGN,40DWS,BLGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20231225103527.png,#0F5F69
8432,40DWS_BLGN,40DWS,BLGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20231225103527.png,#0F5F69
9517,40DWS_BPOR,40DWS,BPOR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20241018152753.jpg,#F59173
9915,40DWS_CBBL,40DWS,CBBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20250107102131.jpg,#0591EB
10234,40DWS_CBR,40DWS,CBR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250319161859.jpeg,#9B7D69
9099,40DWS_CDPK,40DWS,CDPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240715162633.jpg,#FF41C3
9099,40DWS_CDPK,40DWS,CDPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240715162633.jpg,#FF41C3
9099,40DWS_CDPK,40DWS,CDPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240715162633.jpg,#FF41C3
8313,40DWS_CHRD,40DWS,CHRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240126200343.jpg,#E12D23
8431,40DWS_DAPK,40DWS,DAPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240422154045.jpg,#EB239B
11459,40DWS_DBBR,40DWS,DBBR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20260323114440.jpeg,#412D23
10614,40DWS_DBNL,40DWS,DBNL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20250717104108.png,#192337
8999,40DWS_DBOR,40DWS,DBOR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240701155823.png,#FF7D41
8556,40DWS_DBR,40DWS,DBR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20250826104858.jpg,#734B2D
10967,40DWS_DBRN,40DWS,DBRN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20251107174725.png,#553723
9516,40DWS_DNBL,40DWS,DNBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20241018145849.png,#232D41
